Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
32,2,0,0,13,1,47,7,2,1,1,0,0,1,0,1,2,2,0
40,1,1,1,3,2,52,4,1,1,2,0,1,3,1,2,2,2,1
59,2,2,2,22,1,46,11,5,1,2,0,2,4,0,5,0,0,2
27,0,2,3,20,0,32,8,4,2,1,1,1,3,0,3,0,0,0
49,0,3,4,32,0,35,12,2,2,0,1,0,3,0,3,2,1,2
59,2,3,1,31,1,39,3,4,2,0,0,1,5,0,1,0,1,3
31,3,3,1,24,2,51,7,3,0,2,1,0,5,2,3,1,0,1
42,2,1,5,6,0,54,7,3,1,1,0,0,5,1,4,0,1,2
56,3,1,0,9,1,24,4,2,2,0,1,0,2,0,4,1,0,0
30,1,0,1,28,1,57,6,1,0,1,1,0,2,2,1,2,0,2
33,2,2,3,17,2,48,3,3,2,0,1,0,4,1,2,2,1,4
47,1,4,4,31,1,26,12,4,1,0,1,2,4,2,3,2,0,5
40,1,4,4,1,2,21,7,2,2,1,1,0,2,2,1,2,2,0
51,2,5,5,5,1,45,13,1,0,2,0,0,2,1,5,2,0,2
36,3,6,6,23,2,59,11,3,2,2,1,0,5,2,3,2,1,4
56,1,3,0,13,2,44,11,4,0,2,0,2,5,1,4,2,1,5
33,3,0,2,3,0,52,9,2,1,0,0,2,1,1,1,2,2,5
45,2,1,4,20,0,37,8,3,0,3,1,0,5,2,5,2,2,0
49,2,2,1,30,2,36,6,1,2,2,0,2,3,1,2,2,2,4
59,0,2,4,13,2,59,4,3,1,2,0,0,4,2,1,1,1,3
26,1,3,6,33,1,21,1,2,0,3,0,1,2,1,1,2,0,3
26,2,3,2,21,0,54,12,3,1,1,0,0,3,0,4,1,0,2
43,3,3,3,21,0,57,1,3,0,1,1,1,3,1,4,1,1,5
53,2,4,4,11,0,22,12,5,0,1,0,2,2,2,3,2,0,1
56,0,3,3,6,2,54,15,3,0,3,0,1,2,2,4,1,1,2
49,0,6,0,23,0,21,14,4,2,3,0,2,4,2,3,0,2,3
36,2,6,6,30,0,24,12,3,2,0,0,0,4,0,4,0,0,2
53,1,6,6,31,0,56,4,4,0,1,0,2,4,0,4,0,0,4
47,3,3,1,22,0,33,10,3,2,1,1,0,4,1,1,1,0,0
59,0,2,0,34,2,25,15,2,2,1,1,2,3,1,1,2,0,2
22,1,1,1,22,0,20,11,1,0,2,1,2,5,2,2,2,1,1
37,3,4,5,4,1,33,14,2,1,1,0,0,3,1,5,0,1,2
45,3,6,5,29,2,20,14,2,1,2,1,0,5,1,5,1,2,2
48,0,2,0,27,2,26,9,3,1,2,1,2,5,2,4,1,1,2
36,0,5,1,24,1,22,6,4,1,1,0,2,1,0,3,2,1,0
46,3,3,0,28,1,57,8,4,0,0,1,2,1,2,5,0,0,0
48,0,3,3,10,0,30,12,1,0,1,1,0,5,1,3,0,0,1
31,1,5,0,18,2,47,14,2,0,0,1,1,2,1,5,1,2,1
24,2,3,1,21,0,48,12,4,0,2,1,2,3,2,1,2,1,5
49,0,4,4,20,1,20,1,3,2,0,0,1,1,0,5,2,0,1
30,2,1,1,22,2,44,15,4,2,3,0,0,1,2,5,1,0,0
